playerId,player_name,team,jersey_number,birthday,height,weight,position,batting_throwing,career,salary,contract,draft,join_year,collected_at
55208,케이브,두산 베어스,8.0,1992-12-04,183,90,외야수,좌투좌타,미국 Kecoughtan(고)-두산,800000달러,200000달러,25 두산 자유선발,25두산,2026-04-06
79231,정수빈,두산 베어스,31.0,1990-10-07,175,70,외야수,좌투좌타,수원신곡초-수원북중-유신고-두산-경찰,60000,6000,09 두산 2차 5라운드 39순위,09두산,2026-04-06
76232,양의지,두산 베어스,25.0,1987-06-05,180,95,포수,우투우타,송정동초-무등중-진흥고-두산-경찰-두산-NC,420000,3000,06 두산 2차 8라운드 59순위,06두산,2026-04-06
66112,김기연,두산 베어스,22.0,1997-09-07,178,106,포수,우투우타,광주수창초-진흥중-진흥고-LG,9500,7000,16 LG 2차 4라운드 34순위,17LG,2026-04-06
67266,박치국,두산 베어스,1.0,1998-03-10,177,78,투수,우언우타,인천숭의초-인천신흥중-제물포고,18700,14000,17 두산 2차 1라운드 10순위,17두산,2026-04-06
66291,이영하,두산 베어스,50.0,1997-11-01,192,91,투수,우투우타,영일초-강남중-선린인터넷고,60000,35000,16 두산 1차,17두산,2026-04-06
64153,양석환,두산 베어스,53.0,1991-07-15,185,90,내야수,우투우타,백운초-신일중-신일고-동국대-LG-상무-LG,30000,9000,14 LG 2차 3라운드 28순위,14LG,2026-04-06
50208,오명진,두산 베어스,6.0,2001-09-04,179,79,내야수,우투좌타,대전신흥초-한밭중-세광고,11200,5000,20 두산 2차 6라운드 59순위,20두산,2026-04-06
67207,이유찬,두산 베어스,13.0,1998-08-05,175,68,내야수,우투우타,동막초-천안북중-북일고-두산-상무,11200,6000,17 두산 2차 5라운드 50순위,17두산,2026-04-06
66209,조수행,두산 베어스,51.0,1993-08-30,178,73,외야수,우투좌타,노암초-경포중-강릉고-건국대-두산-상무,20000,14000,16 두산 2차 1라운드 5순위,16두산,2026-04-06
54263,김택연,두산 베어스,63.0,2005-06-03,181,88,투수,우투우타,동막초-상인천중-인천고,22000,35000,24 두산 1라운드 2순위,24두산,2026-04-06
63123,강승호,두산 베어스,23.0,1994-02-09,178,88,내야수,우투우타,순천북초-천안북중-북일고-LG-경찰-LG-SK,29800,20000,13 LG 1라운드 3순위,13LG,2026-04-06
68249,박신지,두산 베어스,49.0,1999-07-16,185,75,투수,우투우타,목암초(의정부리틀)-영동중-경기고-두산-상무,7000,14000,18 두산 2차 1라운드 10순위,18두산,2026-04-06
55252,박준순,두산 베어스,52.0,2006-07-13,180,80,내야수,우투우타,배봉초(동대문구리틀)-청량중-덕수고,6900,26000,25 두산 1라운드 6순위,25두산,2026-04-06
53554,김민석,두산 베어스,2.0,2004-05-09,185,83,외야수,우투좌타,신도초-휘문중-휘문고-롯데,8100,25000,23 롯데 1라운드 3순위,23롯데,2026-04-06
63257,김인태,두산 베어스,33.0,1994-07-03,178,78,외야수,좌투좌타,포항제철서초-천안북중-북일고-두산-경찰,8700,20000,13 두산 1라운드 4순위,13두산,2026-04-06
67263,최원준,두산 베어스,61.0,1994-12-21,182,91,투수,우언우타,수유초-신일중-신일고-동국대,40000,18000,17 두산 1차,18두산,2026-04-06
72523,고효준,울산 웨일즈,29.0,1983-02-08,179,81,투수,좌투좌타,서원초-세광중-세광고-롯데-SK-KIA-롯데-LG-SSG-두산,,11000,02 롯데 2차 1라운드 6순위,02롯데,2026-04-06
52206,최지강,두산 베어스,42.0,2001-07-23,180,88,투수,우투좌타,광주서석초-광주동성중-광주동성고-강릉영동대,8700,,22 두산 육성선수,22두산,2026-04-06
66928,박준영,두산 베어스,16.0,1997-08-05,180,90,내야수,우투우타,서울도곡초(남양주리틀)-잠신중-경기고-NC-두산,8500,20000,16 NC 1차,16NC,2026-04-06
78224,김재환,SSG 랜더스,32.0,1988-09-22,184,98,외야수,우투좌타,영랑초-상인천중-인천고-두산-상무-두산,50000,15000,08 두산 2차 1라운드 4순위,08두산,2026-04-06
54236,임종성,두산 베어스,3.0,2005-03-03,183,90,내야수,우투우타,본리초-대구중-경북고,4500,10000,24 두산 3라운드 22순위,24두산,2026-04-06
64468,박계범,두산 베어스,14.0,1996-01-11,177,84,내야수,우투우타,순천북초-순천이수중-효천고-삼성-상무-삼성,7700,11000,14 삼성 2차 2라운드 17순위,14삼성,2026-04-06
55239,잭로그,두산 베어스,39.0,1996-04-23,183,84,투수,좌투좌타,미국 Archbishop Moeller(고)-미국 Kentucky(대),700000달러,100000달러,25 두산 자유선발,25두산,2026-04-06
65639,박정수,두산 베어스,17.0,1996-01-29,178,74,투수,우언좌타,서울청구초-서울이수중-야탑고-KIA-경찰-KIA-NC,6400,5000,15 KIA 2차 7라운드 65순위,15KIA,2026-04-06
55257,콜어빈,두산 베어스,57.0,1994-01-31,193,102,투수,좌투좌타,미국 Servite(고)-미국 Oregon(대)-두산,800000달러,200000달러,25 두산 자유선발,25두산,2026-04-06
51264,최승용,두산 베어스,28.0,2001-05-11,190,87,투수,좌투좌타,양오초-모가중-소래고,15500,8000,21 두산 2차 2라운드 20순위,21두산,2026-04-06
52204,이병헌,두산 베어스,29.0,2003-06-04,183,95,투수,좌투좌타,역삼초-영동중-서울고,9400,27000,22 두산 1차,22두산,2026-04-06
61643,홍건희,KIA 타이거즈,52.0,1992-09-29,187,97,투수,우투우타,화순초-화순중-화순고-KIA-상무-KIA-두산,65000,14000,11 KIA 2라운드 9순위,11KIA,2026-04-06
